mjd	exptime	magnitude	sky
52191.0812616	180.0	19.314518845626278	-9.101129667140839
52191.0882986	180.0	19.28906801739098	-9.067624694960367
52191.0955671	180.0	19.243221359784318	-9.020552258644067
52191.1095139	180.0	19.251633578723954	-9.005110548652628
52191.1234954	180.0	19.223127286234792	-8.927878346267448
52191.1374537	180.0	19.198840423280647	-8.92295096064571
52191.1441319	180.0	19.189253696827354	-8.925412400754828
52191.1514583	180.0	19.088281990828996	-8.931064270371689
52191.1581481	180.0	18.997936003499106	-8.931020089811398
52191.1654167	180.0	19.043325453737904	-8.914903735644383
52191.1720949	180.0	19.04863805049117	-8.904331146346479
52191.1793403	180.0	18.9702476615444	-8.888258364543905
52191.1860301	180.0	18.888119656235418	-8.905419370363383
52191.2035069	180.0	18.803026934883576	-9.054064637073902
52191.2101968	180.0	18.822708178874613	-9.132586425250981
52191.2179977	180.0	18.742302241004772	-9.178153467318502
52191.2246759	180.0	18.71384896394828	-9.223638381494181
52191.2417014	180.0	18.766426390311864	-9.303287175863046
52191.2485069	180.0	18.79845244776322	-9.31085873859093
52191.2558333	180.0	18.7666472021765	-9.343094757984986
52191.2625116	180.0	18.72178171381497	-9.36628218247624
52191.2747222	180.0	18.76174912962928	-9.397371906708052
52191.2815278	180.0	18.761170965087402	-9.409386170733097
52191.2954861	180.0	18.75656019801524	-9.44902253428898
52191.3027778	180.0	18.799372797025924	-9.480924058752114
52191.3094444	180.0	18.79448647200276	-9.513962523087848
52191.3216204	180.0	18.852052392481056	-9.559095847999442
52191.3284144	180.0	18.917120463957687	-9.60032997728226
52191.3356944	180.0	18.90517727741412	-9.645554622703305
52191.3423843	180.0	18.95048918507696	-9.691941777109015
