mjd	exptime	magnitude	sky
52190.0979167	180.0	19.266382373242447	-9.023927141942265
52190.1048958	180.0	19.278994529718357	-8.978175174015961
52190.1122569	180.0	19.260914994619952	-9.045318388646816
52190.1189468	180.0	19.20663774362451	-9.008947699835232
52190.1262153	180.0	19.258842465418574	-8.987883372094455
52190.1328935	180.0	19.24348321665383	-8.937809493730033
52190.1415046	180.0	19.276692454095226	-8.91320358153526
52190.1481829	180.0	19.255744026855346	-8.932132510948485
52190.1597454	180.0	19.26550039779824	-9.092385446373516
52190.1664236	180.0	19.244500162220938	-9.216739741031386
52190.1743171	180.0	19.136894297749798	-9.301143567693298
52190.1809954	180.0	19.13977922833523	-9.339865134353797
52190.1953009	180.0	19.11849694072781	-9.404624142910102
52190.2022222	180.0	19.09921480360716	-9.410229770114585
52190.2094792	180.0	18.986503162045018	-9.418740343956436
52190.216169	180.0	19.044128506648406	-9.443824138807434
52190.2235532	180.0	18.983469138431538	-9.481859234180499
52190.2302431	180.0	18.981011326506994	-9.501707421837773
52190.2377778	180.0	18.90373959822896	-9.540516540144054
52190.2444676	180.0	18.875756416677632	-9.557543471851522
52190.2606944	180.0	18.886559461544046	-9.600144195706324
52190.2675347	180.0	18.821520192452013	-9.609379938777078
52190.2748032	180.0	18.817775156054402	-9.627850845129483
52190.2814931	180.0	18.79525616889167	-9.659556568813246
52190.2887731	180.0	18.848704989154328	-9.683805665017527
52190.3034259	180.0	18.777081537271883	-9.763023132311128
52190.3101157	180.0	18.772761911860062	-9.791297844293158
52190.3232639	180.0	18.934618782870203	-9.83949317008779
52190.3303009	180.0	18.8910474148123	-9.871676212289593
52190.3375926	180.0	18.953046231675813	-9.920467169472408
52190.344294	180.0	18.885685901750943	-9.95019045423112
52190.3528472	180.0	18.9593841003547	-10.004844810080778
